STOFF_ID	Stoff_Typ	Name_Botanisch_INCI	Name_DE	Name_EN	Platzhalter_Illu	Illu_Prompt_Positiv	Illu_Prompt_Negativ	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Name_Botanisch_INCI (Name_DE) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000026	Kraut	Levisticum officinale	Liebstöckel	Lovage	STOFF-HRB-000026	Ultrarealistisches Foto von getrocknetem Liebstöckel, Makro, 8k	kein frisches Kraut	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Levisticum officinale (Liebstöckel) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000027	Kraut	Satureja hortensis	Bohnenkraut	Summer Savory	STOFF-HRB-000027	Ultrarealistisches Foto von getrocknetem Bohnenkraut, grün-braun, Makro, 8k	kein frischer Zweig	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Satureja hortensis (Bohnenkraut) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000028	Kraut	Satureja montana	Bohnenkraut (Winter)	Winter Savory	STOFF-HRB-000028	Ultrarealistisches Foto von getrocknetem Winterbohnenkraut, Makro, 8k	kein frischer Zweig	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Satureja montana (Bohnenkraut (Winter)) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000029	Kraut	Foeniculum vulgare	Fenchelgrün	Fennel Fronds	STOFF-HRB-000029	Ultrarealistisches Foto von getrocknetem Fenchelgrün, fiedrig, Makro, 8k	keine Samen	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Foeniculum vulgare (Fenchelgrün) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000030	Kraut	Ocimum basilicum var. thyrsiflora	Thai-Basilikum	Thai Basil	STOFF-HRB-000030	Ultrarealistisches Foto von getrocknetem Thai-Basilikum, Makro, 8k	kein frisches Kraut	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Ocimum basilicum var. thyrsiflora (Thai-Basilikum) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000031	Kraut	Perilla frutescens	Shiso (Grün)	Shiso	STOFF-HRB-000031	Ultrarealistisches Foto von getrocknetem Shiso, dunkelgrün, Makro, 8k	kein Sushi	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Perilla frutescens (Shiso (Grün)) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000032	Kraut	Murraya koenigii	Curryblätter	Curry Leaves	STOFF-HRB-000032	Ultrarealistisches Foto von getrockneten Curryblättern, olivgrün, Makro, 8k	kein frischer Zweig	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Murraya koenigii (Curryblätter) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000033	Kraut	Citrus hystrix	Kaffirlimettenblätter	Makrut Lime Leaves	STOFF-HRB-000033	Ultrarealistisches Foto von getrockneten Makrut-Limettenblättern, Makro, 8k	kein frisches Blatt	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Citrus hystrix (Kaffirlimettenblätter) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000034	Kraut	Trigonella foenum-graecum	Bockshornklee-Blätter	Kasuri Methi	STOFF-HRB-000034	Ultrarealistisches Foto von getrockneten Kasuri-Methi-Blättern, Makro, 8k	kein Curry	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Trigonella foenum-graecum (Bockshornklee-Blätter) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000035	Kraut	Petroselinum crispum var. neapolitanum	Petersilie (glatt)	Flat-Leaf Parsley	STOFF-HRB-000035	Ultrarealistisches Foto von getrockneter glatter Petersilie, Makro, 8k	kein frischer Bund	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Petroselinum crispum var. neapolitanum (Petersilie (glatt)) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
STOFF-HRB-000036	Kraut	Pandanus amaryllifolius	Pandanblätter	Pandan Leaves	STOFF-HRB-000036	Ultrarealistisches Foto von getrockneten Pandanblättern, Streifen, Makro, 8k	kein frisches Blatt	Ultrarealistisches Foto, 8k, Makro: Die Pflanze Pandanus amaryllifolius (Pandanblätter) im Hintergrund, daneben im Vordergrund ein kleiner Haufen oder ein Schälchen mit dem Gewürz, professionelle Studiobeleuchtung, neutraler Hintergrund, ohne weissen Rand
